srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.5077069201047574,0.5590329621128417,176,64,115,3,0.3407821229050279,Anterior_nares
SRS020386,0.3230078779200892,0.5115731588971697,176,64,115,3,0.3407821229050279,Anterior_nares
SRS022006,0.43326831304563035,0.4627310052038008,176,64,115,3,0.3407821229050279,Anterior_nares
SRS022129,0.5562350298535593,0.7376731416749722,176,64,115,3,0.3407821229050279,Anterior_nares
SRS024424,0.6260458320596084,0.759605541752835,176,64,115,3,0.3407821229050279,Anterior_nares
SRS044474,0.5482123243839614,0.5838537492587463,176,64,115,3,0.3407821229050279,Anterior_nares
SRS047225,0.48946699095021456,0.6740496411213989,176,64,115,3,0.3407821229050279,Anterior_nares
SRS013506,0.6058597243364551,0.8311173997271083,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS013711,0.7512902354892119,0.932901770613126,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS013825,0.7139507450156253,0.8951915732145109,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS015921,0.6581646473547219,0.8790480311798499,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS016349,0.5740170549962966,0.6546711657263848,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS016533,0.6617887564313463,0.8725956614035666,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS016600,0.695258922886078,0.8355170508598082,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS017080,0.755641039062114,0.911948867997385,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS017127,0.6873503180991046,0.8083394176792944,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS017215,0.7120766687205989,0.8500795235846026,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS017537,0.7350037101315965,0.9006086748886988,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS018149,0.7212426234093782,0.8622452194350371,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS018329,0.6185912140135522,0.7559980869474321,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS022625,0.7608781300011104,0.9352313643232507,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS023987,0.6919689650315545,0.8840379534347707,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS024347,0.7874520669095117,0.9414729462632679,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS024470,0.7435097016852314,0.9396327673765061,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS063287,0.6830452500869328,0.8327706490446635,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS064809,0.7169421490493842,0.8608241871076731,143,44,99,0,0.3076923076923077,Buccal_mucosa
SRS014629,0.594292323784207,0.5586730975416234,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS015425,0.7570890744487331,0.7384435335601567,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS016111,0.601975953469203,0.6018566060309338,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS016559,0.6511323150043279,0.5606482349349806,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS017497,0.7649658992187188,0.8496659603922811,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS018769,0.443133813899393,0.40658878383611846,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS065347,0.6927772279375433,0.7070946882531074,83,22,61,0,0.26506024096385544,Posterior_fornix
SRS013258,0.5614081019520728,0.5655595780324558,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS016944,0.4921023965893561,0.6635652854104395,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS017849,0.6472305942911103,0.6964420784345724,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS017851,0.6916708316189962,0.7961195633949688,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS019081,0.5679417433305154,0.6008893790666273,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS020261,0.5405180916449168,0.5831240660123614,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS020263,0.655654914334715,0.7064294187114536,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS024482,0.7484767205760433,0.8628044081537993,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS024596,0.6276049520620338,0.5722281829899595,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS024598,0.47583750331975033,0.3193475348983032,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS024655,0.5661034041865911,0.6225928782118969,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS058182,0.5942237180510461,0.5923174934009969,105,41,64,0,0.3904761904761905,Retroauricular_crease
SRS011271,0.5885339164396483,0.7942298335740635,68,38,32,2,0.5142857142857142,Stool
SRS011405,0.4759939427587511,0.639279904830757,68,38,32,2,0.5142857142857142,Stool
SRS011452,0.4554549275250439,0.5437763849394899,68,38,32,2,0.5142857142857142,Stool
SRS011529,0.7555578718602302,0.8511401103967327,68,38,32,2,0.5142857142857142,Stool
SRS011586,0.8038448320935979,0.8899695268662783,68,38,32,2,0.5142857142857142,Stool
SRS013687,0.69210545164321,0.8372919443484098,68,38,32,2,0.5142857142857142,Stool
SRS014235,0.7790389944742216,0.9157648186808307,68,38,32,2,0.5142857142857142,Stool
SRS014287,0.6449477807928533,0.8056438966232032,68,38,32,2,0.5142857142857142,Stool
