srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.952317080325108,0.9549937104572925,20,8,13,1,0.3333333333333333,Anterior_nares
SRS020386,0.9454773115574826,0.9642857142857145,20,8,13,1,0.3333333333333333,Anterior_nares
SRS022006,0.8729469606745899,0.9349469900084572,20,8,13,1,0.3333333333333333,Anterior_nares
SRS022129,0.98558245919454,0.9636363636363636,20,8,13,1,0.3333333333333333,Anterior_nares
SRS024424,0.9089467406510541,0.9636241116594316,20,8,13,1,0.3333333333333333,Anterior_nares
SRS044474,0.9780353293946294,0.9636241116594316,20,8,13,1,0.3333333333333333,Anterior_nares
SRS047225,0.9736398638672962,0.9549937104572925,20,8,13,1,0.3333333333333333,Anterior_nares
SRS013506,0.9594866251433681,1.0,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS013711,0.9379315530579644,0.9285714285714288,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS013825,0.3157829130389476,0.3571428571428572,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS015921,0.9616868815327025,0.9549937104572925,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS016349,0.9123115438889826,0.9189562119494703,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS016533,0.6186962922098406,0.7142857142857144,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS016600,0.5963399185469774,0.3783937343321348,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS017080,0.3577046242601279,0.5714285714285715,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS017127,0.8175858480906429,0.8648999641877367,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS017215,0.987879092915993,0.9642857142857145,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS017537,0.5926600071518684,0.7857142857142859,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS018149,0.8703711468629366,0.9549937104572925,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS018329,0.381517073951428,0.42857142857142866,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS022625,0.7312575356410647,0.7748062179181807,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS023987,0.9849810582602472,0.8829187134416479,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS024347,0.7643772038304403,0.8571428571428573,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS024470,0.9424213561124626,0.9642857142857145,19,7,12,0,0.3684210526315789,Buccal_mucosa
SRS063287,0.975135320765789,0.8468812149338255,19,7,12,0,0.3684210526315789,Buccal_mucosa
