srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,,,4,1,3,0,0.25,Anterior_nares
SRS020386,,,4,1,3,0,0.25,Anterior_nares
SRS022006,,,4,1,3,0,0.25,Anterior_nares
SRS022129,,,4,1,3,0,0.25,Anterior_nares
SRS024424,,,4,1,3,0,0.25,Anterior_nares
SRS044474,,,4,1,3,0,0.25,Anterior_nares
SRS047225,,,4,1,3,0,0.25,Anterior_nares
SRS013506,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS013711,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS013825,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS015921,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS016349,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS016533,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS016600,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS017080,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS017127,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS017215,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS017537,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS018149,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS018329,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS022625,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS023987,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS024347,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS024470,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS063287,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS064809,,,3,1,2,0,0.3333333333333333,Buccal_mucosa
SRS014629,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS015425,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS016111,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS016559,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS017497,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS018769,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS065347,,,3,1,2,0,0.3333333333333333,Posterior_fornix
SRS013258,,,4,1,3,0,0.25,Retroauricular_crease
SRS016944,,,4,1,3,0,0.25,Retroauricular_crease
SRS017849,,,4,1,3,0,0.25,Retroauricular_crease
SRS017851,,,4,1,3,0,0.25,Retroauricular_crease
SRS019081,,,4,1,3,0,0.25,Retroauricular_crease
SRS020261,,,4,1,3,0,0.25,Retroauricular_crease
SRS020263,,,4,1,3,0,0.25,Retroauricular_crease
SRS024482,,,4,1,3,0,0.25,Retroauricular_crease
SRS024596,,,4,1,3,0,0.25,Retroauricular_crease
SRS024598,,,4,1,3,0,0.25,Retroauricular_crease
SRS024655,,,4,1,3,0,0.25,Retroauricular_crease
SRS058182,,,4,1,3,0,0.25,Retroauricular_crease
SRS011271,,,4,1,3,0,0.25,Stool
SRS011405,,,4,1,3,0,0.25,Stool
SRS011452,,,4,1,3,0,0.25,Stool
SRS011529,,,4,1,3,0,0.25,Stool
SRS011586,,,4,1,3,0,0.25,Stool
SRS013687,,,4,1,3,0,0.25,Stool
SRS014235,,,4,1,3,0,0.25,Stool
SRS014287,,,4,1,3,0,0.25,Stool
SRS014613,,,4,1,3,0,0.25,Stool
SRS014923,,,4,1,3,0,0.25,Stool
SRS015133,,,4,1,3,0,0.25,Stool
SRS015190,,,4,1,3,0,0.25,Stool
