srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.7318516450572192,0.7875526617823123,90,31,62,3,0.3010752688172043,Anterior_nares
SRS020386,0.7259047393348619,0.7744027201091784,90,31,62,3,0.3010752688172043,Anterior_nares
SRS022006,0.6195624690555481,0.6407811067861953,90,31,62,3,0.3010752688172043,Anterior_nares
SRS022129,0.7713886758507991,0.9109504612655377,90,31,62,3,0.3010752688172043,Anterior_nares
SRS024424,0.7932988679525992,0.9170377771895031,90,31,62,3,0.3010752688172043,Anterior_nares
SRS044474,0.7457666349157328,0.8229695116300714,90,31,62,3,0.3010752688172043,Anterior_nares
SRS047225,0.7688485566941763,0.8899935712334519,90,31,62,3,0.3010752688172043,Anterior_nares
SRS013506,0.6287895617367744,0.9104026097951534,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS013711,0.8638551031265315,0.9534183142449898,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS013825,0.8719590775701886,0.9261616576437527,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS015921,0.7688462124740446,0.9404784338878143,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS016349,0.8659195377245628,0.9032000193685752,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS016533,0.9020934782183004,0.9455989546403152,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS016600,0.7650223742190857,0.8816614505956034,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS017080,0.7372149724501992,0.908704245469053,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS017127,0.7560127095675535,0.8518585987326108,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS017215,0.8532951118673767,0.9239018406438704,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS017537,0.8651223884100078,0.876502618505576,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS018149,0.8884484796579286,0.9255850946365485,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS018329,0.794153930412564,0.8822907791851328,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS022625,0.815316173539949,0.9645227206913612,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS023987,0.9174545350663561,0.9230138617758731,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS024347,0.9250810274031971,0.9388471281810348,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS024470,0.863559968508628,0.922279535896843,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS063287,0.8741006574585234,0.8862354838310441,82,24,58,0,0.2926829268292683,Buccal_mucosa
SRS064809,0.9408970070489333,0.9425073004984263,82,24,58,0,0.2926829268292683,Buccal_mucosa
