srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.8654576007977091,0.9527992405938548,46,16,31,1,0.3191489361702128,Anterior_nares
SRS020386,0.8380472641323798,0.774597495527728,46,16,31,1,0.3191489361702128,Anterior_nares
SRS022006,0.7262728954146628,0.7452848673513831,46,16,31,1,0.3191489361702128,Anterior_nares
SRS022129,0.9292667308159156,0.9197778090844773,46,16,31,1,0.3191489361702128,Anterior_nares
SRS024424,0.8412824024823806,0.9460158515279897,46,16,31,1,0.3191489361702128,Anterior_nares
SRS044474,0.9227746225790961,0.907653003393834,46,16,31,1,0.3191489361702128,Anterior_nares
SRS047225,0.8640441523601854,0.8781056098780841,46,16,31,1,0.3191489361702128,Anterior_nares
SRS013506,0.9148259827888634,0.9713790140517202,48,15,33,0,0.3125,Buccal_mucosa
SRS013711,0.9239038886841401,0.9104748500928648,48,15,33,0,0.3125,Buccal_mucosa
SRS013825,0.7378608349364579,0.6630923112492897,48,15,33,0,0.3125,Buccal_mucosa
SRS015921,0.8093679689692095,0.949247822526567,48,15,33,0,0.3125,Buccal_mucosa
SRS016349,0.8284289368521622,0.905838704209396,48,15,33,0,0.3125,Buccal_mucosa
SRS016533,0.6750179587653052,0.7717127206487395,48,15,33,0,0.3125,Buccal_mucosa
SRS016600,0.6074890775730122,0.6403651829757513,48,15,33,0,0.3125,Buccal_mucosa
SRS017080,0.5644544385106375,0.677423706182358,48,15,33,0,0.3125,Buccal_mucosa
SRS017127,0.8237488214700008,0.8523266484793419,48,15,33,0,0.3125,Buccal_mucosa
SRS017215,0.940842688695798,0.9569953944480929,48,15,33,0,0.3125,Buccal_mucosa
SRS017537,0.6801803822032566,0.6152528228590552,48,15,33,0,0.3125,Buccal_mucosa
SRS018149,0.8501751501331097,0.9117487122479058,48,15,33,0,0.3125,Buccal_mucosa
SRS018329,0.48147590261386153,0.6164914151500823,48,15,33,0,0.3125,Buccal_mucosa
SRS022625,0.747337395296688,0.7773150643990248,48,15,33,0,0.3125,Buccal_mucosa
SRS023987,0.9287218224244027,0.9468454960776985,48,15,33,0,0.3125,Buccal_mucosa
SRS024347,0.7936754535386763,0.8064567930742356,48,15,33,0,0.3125,Buccal_mucosa
SRS024470,0.8595564934147749,0.8882934735603693,48,15,33,0,0.3125,Buccal_mucosa
SRS063287,0.9262062107047622,0.9310629983402341,48,15,33,0,0.3125,Buccal_mucosa
SRS064809,0.8959407255385757,0.9237890686657012,48,15,33,0,0.3125,Buccal_mucosa
SRS014629,0.5092873482679704,0.40786882833137955,25,13,12,0,0.52,Posterior_fornix
SRS015425,0.6343200411194837,0.5252183261139308,25,13,12,0,0.52,Posterior_fornix
SRS016111,0.5855629190877351,0.48835772713072206,25,13,12,0,0.52,Posterior_fornix
SRS016559,0.6213394165216062,0.5277798139692595,25,13,12,0,0.52,Posterior_fornix
SRS017497,0.8857777121146359,0.8926784173559499,25,13,12,0,0.52,Posterior_fornix
SRS018769,0.6949134668756188,0.6440446243571427,25,13,12,0,0.52,Posterior_fornix
SRS065347,0.8762002635334486,0.7838729044493702,25,13,12,0,0.52,Posterior_fornix
SRS013258,0.7544781028778696,0.7009235892228585,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS016944,0.8551403748631164,0.8374687425355412,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS017849,0.9165642001833402,0.9474011354940377,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS017851,0.8375774418014433,0.9112201984065014,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS019081,0.8109364919278229,0.8641463724697789,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS020261,0.753109443726617,0.7070157995267373,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS020263,0.941258596900747,0.7785426897512322,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS024482,0.8645017490657007,0.9230769230769231,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS024596,0.6618821789760617,0.6815617445672543,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS024598,0.5606137275990333,0.4054991124544446,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS024655,0.8827494022981263,0.9606149958421563,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS058182,0.7913160712625388,0.853942215116113,33,13,20,0,0.3939393939393939,Retroauricular_crease
SRS011271,0.7405256902454137,0.7744779163977816,28,14,14,0,0.5,Stool
SRS011405,0.5177746228848392,0.5663607269950433,28,14,14,0,0.5,Stool
SRS011452,0.6592507032251574,0.6236246325237177,28,14,14,0,0.5,Stool
SRS011529,0.880576778827754,0.8928201020242325,28,14,14,0,0.5,Stool
SRS011586,0.7845487879441693,0.9108916403087545,28,14,14,0,0.5,Stool
SRS013687,0.8987584752333678,0.8217180231687659,28,14,14,0,0.5,Stool
SRS014235,0.8943078222976153,0.9215610263431963,28,14,14,0,0.5,Stool
SRS014287,0.8537124831016635,0.7834258926321734,28,14,14,0,0.5,Stool
SRS014613,0.6956580612781812,0.8093205965022343,28,14,14,0,0.5,Stool
SRS014923,0.8366984315372077,0.8931511487318867,28,14,14,0,0.5,Stool
SRS015133,0.8810488350294025,0.9536940746869957,28,14,14,0,0.5,Stool
SRS015190,0.8580806225543427,0.8619590341638773,28,14,14,0,0.5,Stool
SRS015578,0.8781458966068808,0.9563489274588532,28,14,14,0,0.5,Stool
SRS015663,0.9745757825877811,0.9482954033166019,28,14,14,0,0.5,Stool
SRS015782,0.8976338970875707,0.8274417284612983,28,14,14,0,0.5,Stool
SRS015854,0.9452618275214082,0.8839913921757278,28,14,14,0,0.5,Stool
SRS015960,0.6210642262763163,0.5974198636974603,28,14,14,0,0.5,Stool
SRS016018,0.5445072883364585,0.6249135726715717,28,14,14,0,0.5,Stool
SRS016056,0.7719526284700416,0.7338101416786031,28,14,14,0,0.5,Stool
SRS016095,0.8961883370196316,0.8753565563736567,28,14,14,0,0.5,Stool
SRS016203,0.9480129207812096,0.8840364926268771,28,14,14,0,0.5,Stool
SRS016267,0.8254910839374175,0.8399578964833895,28,14,14,0,0.5,Stool
SRS016335,0.7881072996634555,0.8460940823763863,28,14,14,0,0.5,Stool
SRS016585,0.3689860185359118,0.3294250558631537,28,14,14,0,0.5,Stool
SRS016753,0.8321961230883159,0.6652673486360879,28,14,14,0,0.5,Stool
SRS016954,0.8210399245854049,0.8805865615075512,28,14,14,0,0.5,Stool
SRS017103,0.8701531728194974,0.8382843356464625,28,14,14,0,0.5,Stool
SRS017191,0.7707538575280583,0.8715130683009487,28,14,14,0,0.5,Stool
SRS017307,0.646594348776582,0.460477205988814,28,14,14,0,0.5,Stool
SRS017521,0.8900318985734502,0.879955947136564,28,14,14,0,0.5,Stool
SRS017701,0.8162358699525387,0.7992609428926699,28,14,14,0,0.5,Stool
SRS017821,0.8239650191948462,0.9485672247024877,28,14,14,0,0.5,Stool
SRS018133,0.8262554849410277,0.8892735355088233,28,14,14,0,0.5,Stool
SRS018427,0.8457197428544673,0.8230108637419504,28,14,14,0,0.5,Stool
SRS018817,0.7586476753964586,0.7291547618075788,28,14,14,0,0.5,Stool
SRS019267,0.8666434401805526,0.8317236336801832,28,14,14,0,0.5,Stool
SRS019582,0.7960257764719465,0.7687243317482974,28,14,14,0,0.5,Stool
SRS019685,0.7556301925477454,0.8132720808016696,28,14,14,0,0.5,Stool
SRS019787,0.5074220677921646,0.6857441053702809,28,14,14,0,0.5,Stool
SRS019910,0.8723884513563623,0.8938074971821182,28,14,14,0,0.5,Stool
SRS020233,0.84758739863597,0.822496230157891,28,14,14,0,0.5,Stool
SRS020869,0.8302635674840699,0.8141772253008465,28,14,14,0,0.5,Stool
SRS021484,0.44588738983944926,0.4333475790500337,28,14,14,0,0.5,Stool
SRS022609,0.6990013578938993,0.679604709667121,28,14,14,0,0.5,Stool
SRS023176,0.6881738525524851,0.7181855067662648,28,14,14,0,0.5,Stool
SRS023914,0.6128642322975385,0.6052976515913171,28,14,14,0,0.5,Stool
SRS023971,0.9148893946432829,0.9474495822979185,28,14,14,0,0.5,Stool
SRS024265,0.85750422764404,0.8511506627460095,28,14,14,0,0.5,Stool
SRS024331,0.8851840733799758,0.9174008810572688,28,14,14,0,0.5,Stool
SRS024388,0.7562612779382017,0.6318341982241557,28,14,14,0,0.5,Stool
SRS024625,0.7288439419579489,0.5490605233238464,28,14,14,0,0.5,Stool
SRS043411,0.74469416552864,0.6415944905515205,28,14,14,0,0.5,Stool
SRS043701,0.6506183886050467,0.7915317401406039,28,14,14,0,0.5,Stool
SRS048870,0.6321234501834623,0.6211099430849258,28,14,14,0,0.5,Stool
SRS049959,0.9575980929715623,0.8720849447020935,28,14,14,0,0.5,Stool
SRS050422,0.8655906312635516,0.88398275746569,28,14,14,0,0.5,Stool
SRS051031,0.7852574143718669,0.8435326722464443,28,14,14,0,0.5,Stool
SRS052697,0.8927207383814629,0.9292126362399606,28,14,14,0,0.5,Stool
SRS053335,0.6773823171306994,0.5273398107650697,28,14,14,0,0.5,Stool
SRS054590,0.6447238388475726,0.6594304245699351,28,14,14,0,0.5,Stool
SRS058770,0.8415878647714292,0.9234876762574672,28,14,14,0,0.5,Stool
SRS062427,0.5576455186446836,0.6456444226625497,28,14,14,0,0.5,Stool
SRS063985,0.49044559792679565,0.6807363090524298,28,14,14,0,0.5,Stool
SRS064276,0.6039106535383464,0.7898794658716012,28,14,14,0,0.5,Stool
SRS064557,0.8287105377387197,0.7988828064920926,28,14,14,0,0.5,Stool
SRS013252,0.9017438107138502,0.8140819007590319,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS013723,0.8909493436742827,0.9120879120879121,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS015470,0.9305309148469109,0.9416947392563936,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS015574,0.9264716325939385,0.9384615384615385,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS016331,0.9675153024399005,0.8624867705338932,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS017139,0.9333926508925442,0.8769230769230769,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS017227,0.9362154306411927,0.8901098901098902,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS017304,0.9660603911759775,0.9648351648351648,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS018157,0.9818215913580712,0.9163017822558502,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS018337,0.960969193597291,0.9284934111359767,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS018394,0.9418216856076798,0.9076923076923077,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS019906,0.916368388380062,0.9658971741438244,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS023938,0.8880444666938226,0.8360841142930597,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS024289,0.9368762978150917,0.8316836715862541,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS024355,0.9386598614546444,0.9592965100836159,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS024649,0.9497404534173742,0.8989010989010989,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS045197,0.9362395676234424,0.8945054945054945,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS047113,0.9464993739457126,0.9340659340659341,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS047634,0.8707679613032757,0.7274725274725276,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS063603,0.9701413375911349,0.9284934111359767,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS064493,0.922086816449706,0.9701805529128612,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS065310,0.9538028696293279,0.9237710048236354,27,14,13,0,0.5185185185185185,Supragingival_plaque
SRS013234,0.8506278120368391,0.9548960673768103,28,14,14,0,0.5,Tongue_dorsum
SRS013502,0.9472953693121916,0.832237691736204,28,14,14,0,0.5,Tongue_dorsum
SRS013705,0.8683410308014323,0.8901098901098902,28,14,14,0,0.5,Tongue_dorsum
SRS014271,0.8156246131792992,0.8021978021978022,28,14,14,0,0.5,Tongue_dorsum
SRS015395,0.8011139231567396,0.8978332012909817,28,14,14,0,0.5,Tongue_dorsum
SRS015762,0.7998844295058879,0.8373626373626375,28,14,14,0,0.5,Tongue_dorsum
SRS016002,0.9191974750547744,0.9504956246700047,28,14,14,0,0.5,Tongue_dorsum
SRS016225,0.9232932727313412,0.884488984067921,28,14,14,0,0.5,Tongue_dorsum
SRS016319,0.843198821799356,0.9306936324893796,28,14,14,0,0.5,Tongue_dorsum
SRS016529,0.8484435366234456,0.9086914189553517,28,14,14,0,0.5,Tongue_dorsum
SRS017209,0.826179392246798,0.8857142857142857,28,14,14,0,0.5,Tongue_dorsum
SRS017533,0.9033177576985614,0.8857142857142857,28,14,14,0,0.5,Tongue_dorsum
SRS017713,0.9102341899208901,0.9691043678307522,28,14,14,0,0.5,Tongue_dorsum
SRS018145,0.859707882183047,0.860053091335668,28,14,14,0,0.5,Tongue_dorsum
SRS018439,0.8690720885905512,0.9296703296703297,28,14,14,0,0.5,Tongue_dorsum
SRS018591,0.8967876382158887,0.9293688812226576,28,14,14,0,0.5,Tongue_dorsum
SRS018739,0.8579776049538397,0.9164835164835166,28,14,14,0,0.5,Tongue_dorsum
SRS018791,0.8323069476119641,0.9489474677011117,28,14,14,0,0.5,Tongue_dorsum
SRS019894,0.9234528257324526,0.9161237190199593,28,14,14,0,0.5,Tongue_dorsum
SRS021496,0.841106788779056,0.8857142857142857,28,14,14,0,0.5,Tongue_dorsum
SRS022621,0.8913626137775755,0.906491197601949,28,14,14,0,0.5,Tongue_dorsum
SRS023557,0.8776096521647243,0.827822637668638,28,14,14,0,0.5,Tongue_dorsum
SRS023617,0.8568427255775052,0.8813186813186813,28,14,14,0,0.5,Tongue_dorsum
SRS023926,0.9028499918357353,0.8580863278270876,28,14,14,0,0.5,Tongue_dorsum
SRS024277,0.8416457508338462,0.8675581242767325,28,14,14,0,0.5,Tongue_dorsum
SRS024580,0.8305079030086852,0.8690874345941015,28,14,14,0,0.5,Tongue_dorsum
SRS024637,0.901200356829631,0.9108916403087545,28,14,14,0,0.5,Tongue_dorsum
SRS042643,0.9265139492860088,0.9428571428571428,28,14,14,0,0.5,Tongue_dorsum
SRS047219,0.9257332095612291,0.9076923076923077,28,14,14,0,0.5,Tongue_dorsum
SRS049389,0.8437833254334415,0.8021978021978022,28,14,14,0,0.5,Tongue_dorsum
SRS057692,0.8755656194190672,0.8558861064736847,28,14,14,0,0.5,Tongue_dorsum
SRS062540,0.9119724801719709,0.9306936324893796,28,14,14,0,0.5,Tongue_dorsum
SRS062544,0.8841550223741823,0.8945054945054945,28,14,14,0,0.5,Tongue_dorsum
SRS065278,0.8520195588096162,0.9117086649523932,28,14,14,0,0.5,Tongue_dorsum
