srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.5616108914407623,0.6622192527728517,320,80,246,6,0.22699386503067484,Anterior_nares
SRS020386,0.47869842199516704,0.5528831428628869,320,80,246,6,0.22699386503067484,Anterior_nares
SRS022006,0.44882772201892135,0.4522709532703186,320,80,246,6,0.22699386503067484,Anterior_nares
SRS022129,0.6065387716490973,0.7288036441527269,320,80,246,6,0.22699386503067484,Anterior_nares
SRS024424,0.5307215780503115,0.7277762097276512,320,80,246,6,0.22699386503067484,Anterior_nares
SRS044474,0.5397761885647746,0.5908629582040459,320,80,246,6,0.22699386503067484,Anterior_nares
SRS047225,0.39934250145957007,0.6211413085525684,320,80,246,6,0.22699386503067484,Anterior_nares
SRS013506,0.514468214560473,0.7242317097129052,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS013711,0.6590793593676278,0.8932290806891642,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS013825,0.626244135120826,0.8458165424857137,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS015921,0.6828626538637635,0.8476170402230573,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS016349,0.5290603960267758,0.6663275774685378,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS016533,0.6402373067397189,0.7885663031770782,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS016600,0.5687496418819484,0.7579371530451123,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS017080,0.6275464796149239,0.803213070270931,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS017127,0.5511687498901232,0.6315118600961637,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS017215,0.6037827093051713,0.7712904196914856,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS017537,0.5720972725040291,0.790050200413281,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS018149,0.6214799463752947,0.7646110285094682,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS018329,0.6336104577872886,0.7833827046513661,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS022625,0.6864103480177473,0.8766124517774267,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS023987,0.6315859222299954,0.8045543951112387,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS024347,0.5396291765944188,0.8425507111326749,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS024470,0.6449949658630781,0.8607707303407531,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS063287,0.6438004493812884,0.7847577950159768,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS064809,0.6526964347842381,0.7911982207719985,245,73,173,1,0.2926829268292683,Buccal_mucosa
SRS014629,0.6780389700192991,0.5698893444640778,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS015425,0.7805336104707414,0.8071377219914998,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS016111,0.6102232752933752,0.6922429094316027,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS016559,0.6762953313994217,0.49674263633520205,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS017497,0.8315972929119732,0.8586653686577214,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS018769,0.48766223591326413,0.42780723684111516,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS065347,0.8459644113763202,0.8744304613825712,156,21,136,1,0.12738853503184713,Posterior_fornix
SRS013258,0.6166446252067168,0.6497033627086918,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS016944,0.5130141451134013,0.5405234225736806,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS017849,0.7391252055270444,0.7894583356164988,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS017851,0.6512572105312527,0.7513822034297761,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS019081,0.5147297860265124,0.5102732509674376,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS020261,0.5548578192959517,0.6923558268525697,173,54,122,3,0.2897727272727273,Retroauricular_crease
SRS020263,0.5253983112138421,0.6710797058267695,173,54,122,3,0.2897727272727273,Retroauricular_crease
