srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.8794489755941608,0.9527992405938548,27,16,12,1,0.5357142857142857,Anterior_nares
SRS020386,0.8380472641323801,0.774597495527728,27,16,12,1,0.5357142857142857,Anterior_nares
SRS022006,0.7375243513834352,0.7452848673513831,27,16,12,1,0.5357142857142857,Anterior_nares
SRS022129,0.9292667308159158,0.9197778090844773,27,16,12,1,0.5357142857142857,Anterior_nares
SRS024424,0.8592016903274126,0.9460158515279897,27,16,12,1,0.5357142857142857,Anterior_nares
SRS044474,0.9227746225790961,0.907653003393834,27,16,12,1,0.5357142857142857,Anterior_nares
SRS047225,0.8640441523601854,0.8781056098780841,27,16,12,1,0.5357142857142857,Anterior_nares
SRS013506,0.9148259827888634,0.9713790140517202,24,15,9,0,0.625,Buccal_mucosa
SRS013711,0.9239038886841403,0.9104748500928648,24,15,9,0,0.625,Buccal_mucosa
SRS013825,0.7378608349364579,0.6630923112492897,24,15,9,0,0.625,Buccal_mucosa
SRS015921,0.8310520237913168,0.949247822526567,24,15,9,0,0.625,Buccal_mucosa
SRS016349,0.8284289368521621,0.905838704209396,24,15,9,0,0.625,Buccal_mucosa
SRS016533,0.675017958765305,0.7717127206487395,24,15,9,0,0.625,Buccal_mucosa
SRS016600,0.6074890775730124,0.6403651829757513,24,15,9,0,0.625,Buccal_mucosa
SRS017080,0.5644544385106376,0.677423706182358,24,15,9,0,0.625,Buccal_mucosa
SRS017127,0.8237488214700008,0.8523266484793419,24,15,9,0,0.625,Buccal_mucosa
SRS017215,0.940842688695798,0.9569953944480929,24,15,9,0,0.625,Buccal_mucosa
SRS017537,0.6801803822032564,0.6152528228590552,24,15,9,0,0.625,Buccal_mucosa
SRS018149,0.8501751501331097,0.9117487122479058,24,15,9,0,0.625,Buccal_mucosa
SRS018329,0.4814759026138615,0.6164914151500823,24,15,9,0,0.625,Buccal_mucosa
SRS022625,0.747337395296688,0.7773150643990248,24,15,9,0,0.625,Buccal_mucosa
SRS023987,0.9287218224244029,0.9468454960776985,24,15,9,0,0.625,Buccal_mucosa
SRS024347,0.7936754535386763,0.8064567930742356,24,15,9,0,0.625,Buccal_mucosa
SRS024470,0.8595564934147749,0.8882934735603693,24,15,9,0,0.625,Buccal_mucosa
SRS063287,0.9262062107047625,0.9310629983402341,24,15,9,0,0.625,Buccal_mucosa
SRS064809,0.8959407255385757,0.9237890686657012,24,15,9,0,0.625,Buccal_mucosa
SRS014629,0.5177848949286843,0.40786882833137955,19,13,6,0,0.6842105263157895,Posterior_fornix
SRS015425,0.6353563646062824,0.5252183261139308,19,13,6,0,0.6842105263157895,Posterior_fornix
SRS016111,0.5927273585550487,0.48835772713072206,19,13,6,0,0.6842105263157895,Posterior_fornix
SRS016559,0.6352313186995767,0.5277798139692595,19,13,6,0,0.6842105263157895,Posterior_fornix
SRS017497,0.891679020181147,0.8926784173559499,19,13,6,0,0.6842105263157895,Posterior_fornix
